Рік,Номер,Автор,Назва,Напрям,Жанр,Стан,Рівень,Вид,Дата початку,Дата закінчення,Цикл,Нотатки,,
2023,38,Пінчон,Виголошення лоту 49,Художня,Постмодерн,Куплено/В бібліотеці,Прочитати,Фізична,,,Американський постмодернізм,,,
2023,39,Герберт,Бог - імператор Дюни,Художня,Фантастика,Куплено/На хмарі,Прочитати,Електронна,,,,,,
2023,40,Бартелмі,Білосніжка,Художня,Постмодерн,Куплено/В бібліотеці,Прочитати,Фізична,,,Американський постмодернізм,,,
2023,41,Гусерль,Ідеї чистої феноменології,Non-fiction,Феноменологія,Куплено/В бібліотеці,Прочитати,Фізична/електронна,,,"""Філософія""",,,
2023,42,Wijaja,Data Engineering with Google Cloud Platform,Non-fiction,IT,Куплено/На хмарі,Прочитати,Електронна,,,,,,
2023,43,,Google BigQuery: definitive guide,Non-fiction,IT,На хмарі,Прочитати,Електронна,,,,,,
2023,44,,Більдунґ,Non-fiction,,Куплено/На хмарі,Прочитати,Електронна,,,,,,
2023,45,Рослінг,Фактологія,Non-fiction,,Куплено/На хмарі,Прочитати,Електронна,,,,,,
2023,46,Нестелєєв,Лабіринти американського постмодернізму т.2,Non-fiction,Літературознавство,Куплено/В бібліотеці,Прочитати,Фізична,,,,,,
2023,47,Bishop,Teaching about the Future,Non-fiction,Футурологія,На хмарі,Прочитати,Електронна,,,,Стратегічна книга,,
,,,,,,,,,,,,,,
2023,,Санченко,Круз і лис,Художня,Пригоди,Купити,Прочитати,,,,,,,
2023,,Ґеддіс,Агапе агов,Художня,Постмодерн,Куплено/В бібліотеці,Прочитати,Фізична,,,Американський постмодернізм,,,
2023,,Аджемоглу,Вузький коридор,Non-fiction,Економіка,Куплено/На хмарі,Прочитати,Електронна,,,,,,
2023,,Норт,Насильство та суспільні порядки,Non-fiction,Політика,Куплено/На хмарі,Прочитати,Електронна,,,,,,
2023,,Токарчук,Книги Якова,Художня,Постмодерн,Куплено/В бібліотеці,Прочитати,,,,,,,
2023,,O'Connor,Системне мислення,Non-fiction,Мислення,Куплено/В бібліотеці,Прочитати,Електронна,,,,Повторне опрацювання,,
2023,,Thomas,Narratology: the basic,Non-fiction,Теорія наративу,На хмарі,Прочитати,Електронна,,,,,,
2023,,,Data pipelines pocket reference ,Non-fiction,IT,Завантажити,Прочитати,Електронна,,,,,,
2023,,Берталанфі,Загальна теорія систем,Non-fiction,Теорія систем,На хмарі,Прочитати,Електронна,,,,Стратегічна книга,,
2023,,Ібн Сіна,Логіка,Non-fiction,Logic,Куплено/В бібліотеці,Прочитати,Фізична,,,"""Філософія""",Стратегічна книга,,
2023,,Талер,Поведінкова економіка,Non-fiction,Когнітивістика,Куплено/На хмарі,Прочитати,Електронна,,,,,,
2023,,Barthes,Mythologies,Non-fiction,Семіотика,На хмарі,Прочитати,Електронна,,,,,,
2023,,Кемпбелл,Тисячоликий герой,Non-fiction,Психологія,Куплено/В бібліотеці,Прочитати,,,,,,,
2023,,Jung,Архетипи,Non-fiction,Психологія,Куплено/В бібліотеці,Прочитати,Фізична,,,,,,
,,,,,,,,,,,,,,
2023,,Russo,The Definitive Guide to DAX Business intelligence for Microsoft Power BI,Non-fiction,IT,На хмарі,Прочитати,Електронна,,,,Стратегічна книга,,
2023,,Ортега-і-Гассет,Бунт мас,Non-fiction,Філософія,На хмарі,Прочитати,Електронна,,,,,,
,,,,,,,,,,,,,,
2023,,Гейман,Sandman.,Художня,Пригоди,Куплено/В бібліотеці,Прочитати,Фізична,,,,,,
2023,,Пінчон,Нетямущий учень,Художня,Постмодерн,Куплено/В бібліотеці,Прочитати,Фізична,,,Американський постмодернізм,,,
2023,,Davidson,Exam ref 70-762,Non-fiction,IT,На хмарі,,,,,,,,
2023,,Isakov,Exam ref 70-764,Non-fiction,IT,На хмарі,Прочитати,Електронна,,,,,,
2023,,Date,An introduction to database system,Non-fiction,IT,На хмарі,В процесі,Електронна,,,,Стратегічна книга,,
,,,,,,,,,,,,,,
2023,,Гейман,Sandman.,Художня,Пригоди,Куплено/В бібліотеці,Прочитати,Фізична,,,,,,
2022,,D’Antoni,Exam ref 70-765,Non-fiction,IT,На хмарі,,,,,,,,
2023,,Minakov,Demodernization,Non-fiction,Sociology,На хмарі,Прочитати,Електронна,,,,,,
,,,,,,,,,,,,,,
2023,,Гейман,Sandman.,Художня,Пригоди,Куплено/В бібліотеці,Прочитати,Фізична,,,,,,
2023,,Гарман,Object-Oriented Ontology: A New Theory of Everything,Non-fiction,Філософія,Завантажити,Прочитати,Електронна,,,,,,
2023,,Валлерштейн,"The Modern World-System, vol. I",Non-fiction,Теорія систем,На хмарі,Прочитати,Електронна,,,,,,
2023,,Chinchilla,Exam ref 70-767,Non-fiction,IT,На хмарі,,,,,,,,
2023,,,Designing Data-Intensive Applications,,,,,,,,,,,
,,,,,,,,,,,,,,
2023,,Пратчетт,Вільні малолюдці,Художня,Фентезі,Куплено/На хмарі,Прочитати,Електронна,,,Дискосвіт,,,
2023,,Веґнер,Оповістки з Меекханського прикордоння. Книга 3. Небо зі сталі,Художня,Фентезі,Куплено/В бібліотеці,Прочитати,Фізична,,,Меекхан,,,
2023,,Делілло,Художниця тіла,Художня,Постмодерн,Куплено/В бібліотеці,Прочитати,Фізична,,,Американський постмодернізм,,,
2023,,Kimball,The Data Warehouse Toolkit,Non-fiction,IT,На хмарі,Прочитати,Електронна,,,,,,
2023,,Varga,Exam ref 70-768,Non-fiction,IT,На хмарі,Прочитати,Електронна,,,,,,
2023,,Валлерштейн,World-Systems Analysis: Theory and Methodology,Non-fiction,Теорія систем,На хмарі,Прочитати,Електронна,,,,,,
,,,,,,,,,,,,,,
2023,,,Data Management at Scale,Non-fiction,IT,Завантажити,Прочитати,Електронна,,,,,,
2023,,,Data Quality Fundamentals,Non-fiction,IT,Завантажити,Прочитати,Електронна,,,,,,
2023,,,97 Things Every Data Engineer Should Know,Non-fiction,IT,Завантажити,Прочитати,Електронна,,,,,,
2023,,,data engineering patterns,Non-fiction,IT,Завантажити,Прочитати,Електронна,,,,,,
2023,,Jones,Learn PowerShell in a Month of Lunches,Non-fiction,IT,Куплено/На хмарі,В процесі,Електронна,5.1.2023,,,,,
2023,,,Grokking Streaming Systems,Non-fiction,IT,Завантажити,Прочитати,Електронна,,,,,,
2023,,,Software architecture: the hard parts,Non-fiction,IT,Завантажити,Прочитати,Електронна,,,,,,
2023,,,Data Pipelines with Apache Airflow,,,Завантажити,,,,,,,,
2023,,,Data Science in Production: Building Scalable Model Pipelines with Python,,,,,,,,,,,
2023,,,Data Mesh,Non-fiction,IT,Завантажити,Прочитати,Електронна,,,,,,
2023,,Inmon,Building the data warehouse,Non-fiction,IT,Завантажити,Прочитати,Електронна,,,,,,
,,,Kafka the definitive guide,,,,,,,,,,,
